age,genderF0,subject,mode,time,cost,chosen
33,0,57,bus,20.5,2.3,0
33,0,57,train,22.1,0.6,1
27,1,58,car,4.7,0.8,0
27,1,58,bus,2.6,1,1
27,1,58,train,3.5,6.9,0
59,0,59,car,5.8,5.5,0
59,0,59,bus,3.4,2.3,1
59,0,59,train,4,3.2,0
61,1,60,car,5.5,5.4,0
61,1,60,bus,2.8,5.5,1
61,1,60,train,4.6,4.7,0
28,1,61,car,5,1.3,0
28,1,61,bus,2.3,1,1
28,1,61,train,4.8,6.5,0
41,1,62,car,3.5,7,0
41,1,62,bus,2,5,0
41,1,62,train,5,2,1
53,0,63,car,6.1,4.1,0
53,0,63,bus,3.2,2.3,1
53,0,63,train,5,3.3,0
39,1,64,car,6,7.1,0
39,1,64,bus,5.7,4.3,1
39,1,64,train,5.7,5.2,0
38,1,65,car,6.4,6.7,0
38,1,65,bus,3.9,3.1,1
38,1,65,train,6,7.2,0
48,0,66,car,8,5.4,0
48,0,66,bus,6.3,5,1
48,0,66,train,6,6.7,0
62,1,67,car,8,3.3,1
62,1,67,bus,5,6,0
62,1,67,train,7.8,3.5,0
62,1,68,car,10.2,2.6,1
62,1,68,bus,9.2,3.6,0
62,1,68,train,7.8,5.4,0
39,1,69,car,8.8,7.2,0
39,1,69,bus,7.4,6.4,0
39,1,69,train,8.4,5.5,1
40,1,70,car,15.3,10.3,0
40,1,70,bus,13,8.9,0
40,1,70,train,15,6.9,1
30,1,71,car,18,5,0
30,1,71,bus,5.5,4,1
30,1,71,train,20,4,0
37,1,72,car,21.9,1.4,0
37,1,72,bus,21.1,0.5,1
37,1,72,train,20.1,2.4,0
30,1,73,car,22,5,0
30,1,73,bus,4.5,4,1
30,1,73,train,22.5,4,0
32,1,74,car,23.1,4.1,0
32,1,74,bus,22.5,1.8,1
32,1,74,train,22.6,3.4,0
22,0,75,car,1.5,7,0
22,0,75,bus,4,5,1
22,0,75,train,2,9,0
47,1,76,car,1.5,5,1
47,1,76,bus,4.5,4,0
47,1,76,train,4,4,0
46,1,77,car,16.7,4.8,1
46,1,77,bus,15,8.2,0
46,1,77,train,14.9,10.2,0
49,1,78,car,18.4,1.3,1
49,1,78,bus,16.1,8.3,0
49,1,78,train,16.8,13.6,0
44,1,79,car,3.7,5.4,0
44,1,79,bus,3.6,8.9,0
44,1,79,train,2,2.5,1
37,1,80,car,5,6,0
37,1,80,bus,7,5,0
37,1,80,train,2.5,5,1
45,1,81,car,4,2.7,0
45,1,81,bus,4,6.6,0
45,1,81,train,2.9,1.1,1
27,1,82,car,7,3,0
27,1,82,bus,9,6,0
27,1,82,train,3,1,1
42,1,83,car,3.6,3.1,0
42,1,83,bus,2.5,8.7,0
42,1,83,train,3.3,0.4,1
35,1,84,car,12.5,5,0
35,1,84,bus,15.5,4,0
35,1,84,train,3.5,4,1
45,1,85,car,4.8,4.1,0
45,1,85,bus,3,2.3,0
45,1,85,train,4,0.7,1
44,1,86,car,4,2,0
44,1,86,bus,3,6,0
44,1,86,train,4.5,1,1
32,1,87,car,10,5,0
32,1,87,bus,10.5,3,0
32,1,87,train,4.5,2,1
43,1,88,car,5.9,4.5,0
43,1,88,bus,3.2,3.4,0
43,1,88,train,4.9,0.9,1
58,1,89,car,7.5,5,0
58,1,89,bus,10,2,0
58,1,89,train,5.5,3,1
33,1,90,car,7.3,1.2,0
33,1,90,bus,7.3,5.7,0
33,1,90,train,5.9,1.6,1
36,1,91,car,8.4,7.8,0
36,1,91,bus,5.6,7.6,0
36,1,91,train,6.4,6.4,1
23,1,92,car,8.2,8.2,0
23,1,92,bus,6.3,5.4,0
23,1,92,train,8.1,1.1,1
39,1,93,car,10.8,8.6,0
39,1,93,bus,10.4,6.7,0
39,1,93,train,9.2,7.2,1
26,1,94,car,11.3,10.8,0
26,1,94,bus,10.8,2.7,0
26,1,94,train,9.9,1.6,1
47,1,95,car,11.9,5.5,0
47,1,95,bus,10.6,10.4,0
47,1,95,train,10,2.8,1
51,1,96,car,12.6,6.5,0
51,1,96,bus,11.9,12.2,0
51,1,96,train,10.4,3.2,1
58,1,97,car,10.9,7.2,0
58,1,97,bus,10,13.6,0
58,1,97,train,10.9,2.1,1
38,1,98,car,13.8,8.5,0
38,1,98,bus,13.6,7.1,0
38,1,98,train,11.4,8.8,1
28,1,99,car,12.1,7.8,0
28,1,99,bus,10.9,4.4,0
28,1,99,train,11.8,2.7,1
44,1,100,car,13.9,9.5,0
44,1,100,bus,13.1,9.7,0
44,1,100,train,12.9,7.3,1
35,1,101,car,15.9,9.6,0
35,1,101,bus,13.5,9.8,0
35,1,101,train,13.3,5.2,1
31,1,102,car,15.4,7,0
31,1,102,bus,15.1,2.7,0
31,1,102,train,13.6,3.1,1
42,1,103,car,15.7,11.2,0
42,1,103,bus,15.6,7.3,0
42,1,103,train,15.1,6,1
37,1,104,car,17.4,7.3,0
37,1,104,bus,16.8,8.5,0
37,1,104,train,16.1,4,1
37,1,105,car,18.9,10.1,0
37,1,105,bus,18.5,10.8,0
37,1,105,train,16.4,7.1,1
40,1,106,car,18.3,4.5,0
40,1,106,bus,17.3,2.6,0
40,1,106,train,16.8,2.8,1
34,1,107,car,18,8,0
34,1,107,bus,18,4.5,0
34,1,107,train,17.8,4.5,1
