Industry experience age publications phds masters ranking
no 9.69514128064258 36.355850364214 516 35 331 43.9154
no 13.1402199949947 38.5635069412582 513 35 327 46.5041
yes 7 41.8234075744268 714 37 567 48.4533
no 12.2596679815519 36.9706007017728 564 28 314 48.9489
no 12.0887249585871 44.9386713509782 429 25 264 13.3823
no 10.5828437272825 37.2127035730984 488 29 295 31.1677
no 12.4831428537379 42.1359499058331 429 33 295 41.9642
no 13.7542038588504 40.3279673496498 455 30 290 59.2694
no 9.72517310007031 35 600 39 367 33.0665
no 12.956024835838 38.0312782664552 586 28 319 62.3126
yes 9.78542741714435 38.8961935599456 748 39 595 33.4366
yes 9.69390187222176 41.3624486014796 681 35 542 47.8695
no 11.0988189867836 42.0366923167678 447 27 275 55.6054
no 12.586490448213 39.8861694829342 535 38 346 37.6834
no 9.73089344662797 41.2256116478551 551 32 326 50.8108
no 11.0818486253292 41.3728266236689 539 37 344 -9.6073
no 12.2581425558032 43.7862083732068 573 29 321 9.2209
no 13.8554539929211 43.4538057846003 622 37 366 62.3463
no 12.9035883257261 39.774436418774 483 26 282 4.037
no 11.1443910810263 48.3195687986402 552 34 334 34.7872
yes 13.3263219363373 37.546875887594 750 46 627 65.0556
no 12.1531741964701 39.7083011068434 402 33 290 35.8167
yes 9.56824492617178 38.4845247302807 720 43 596 43.85
no 11.8097627247917 49.219135762009 443 29 284 15.0004
no 12.1510767360656 41.8279957526579 361 15 201 49.106
no 11.7369236452908 43.5587002783495 523 34 326 44.4656
yes 12.8802302439489 40.2708991518425 730 35 567 57.9704
yes 13.3894364266902 35.7278161582528 745 46 622 67.9243
no 13.2049552502056 43.1791049993664 391 19 227 33.1907
no 10.689242173255 40.8405979488658 446 26 270 42.0514
no 10.2506822705009 41.1460613767157 459 26 274 25.7825
no 11.1531622790814 40.342474732247 530 27 298 47.9676
no 11.1617427989179 38.8230885867974 590 38 361 54.1205
no 13.0322961232735 38.4686408942141 507 33 319 35.4633
no 10.443743966822 40.7926187136496 465 29 289 25.669
yes 10.4070384097437 45.1426267975827 933 40 698 57.4204
no 11.941998069383 47.229242863198 456 32 301 28.7152
yes 10.700587527261 40.6624892396296 823 42 648 61.1652
no 12.395716890515 42.8367395094582 397 25 252 49.432
yes 9.39939936361145 41.0856722118078 774 39 607 51.7475
no 9.98220733872794 39.6571975407365 456 28 284 25.119
yes 11.0681197935908 40.871054712933 663 35 531 23.0487
no 12.5984078368748 43.2100861266599 428 27 270 43.702
no 11.835122927864 50 520 27 294 44.4657
no 11.3518489828509 40.9668383956233 393 25 251 26.7588
no 14.6756563501805 40.6320543240303 486 29 297 6.5151
yes 8.68120985329695 48.6652552556489 737 45 615 27.3071
yes 12.4431957669435 41.4572709515882 904 44 700 94.6794
no 13.1438428811479 41.5009460386543 406 33 291 34.0483
no 12.7596262706916 42.1588907969884 476 23 268 5.2091
yes 11.4959063769947 43.6919322347924 683 30 521 58.237
no 15 41.840449379285 454 36 316 34.9801
no 10.9988082611338 39.9150750057898 545 30 314 28.7407
no 11.8417013264054 35.3851447897959 343 33 271 6.6415
no 12.863069204276 44.3586163802333 445 34 305 34.7322
no 13.2014277031617 42.7784914943915 409 28 269 45.9103
no 13.1388852474646 35.956460373434 337 25 235 28.032
yes 10.5048563358797 41.9375876669769 655 35 528 47.6794
no 12.1750068524985 46.6653994555362 524 29 305 39.2957
yes 10.5543373336035 41.5793164925344 757 37 589 74.1368
