Industry experience age publications phds masters ranking
no 12.863069204276 44.3586163802333 445 34 305 34.7322
yes 9.91699538797059 40.6927493674869 758 36 587 58.8468
no 12.1531741964701 39.7083011068434 402 33 290 35.8167
no 12.395716890515 42.8367395094582 397 25 252 49.432
yes 10.4160002860173 44.2993414871815 759 50 644 61.8504
no 10.6238395442791 40.5672299201657 536 32 322 32.5605
yes 9.78542741714435 38.8961935599456 748 39 595 33.4366
yes 10.700587527261 40.6624892396296 823 42 648 61.1652
no 13.1438428811479 41.5009460386543 406 33 291 34.0483
no 11.7400698358976 41.6730027223191 503 32 313 8.036
no 12.2596679815519 36.9706007017728 564 28 314 48.9489
no 11.1912025836899 35.6403348933139 426 35 303 50.9331
no 9.06294764691161 41.9543891386897 281 21 204 37.7184
no 12.0887249585871 44.9386713509782 429 25 264 13.3823
