Industry experience age publications phds masters ranking
no 11.2827281286125 43.1071142980743 447 25 269 18.2558
no 13.5387374718452 43.6278506788319 442 26 268 68.8547
no 12.3081002490734 40.9425210509987 467 31 297 15.3907
no 13.8554539929211 43.4538057846003 622 37 366 62.3463
yes 9.64384883984221 41.7303767986751 770 37 599 65.4695
no 15 41.840449379285 454 36 316 34.9801
no 9.18774654097794 38.0556393080153 439 33 300 49.3615
yes 13.3894364266902 35.7278161582528 745 46 622 67.9243
no 11.835122927864 50 520 27 294 44.4657
yes 9.78542741714435 38.8961935599456 748 39 595 33.4366
no 9.06294764691161 41.9543891386897 281 21 204 37.7184
no 12.395716890515 42.8367395094582 397 25 252 49.432
no 9.69514128064258 36.355850364214 516 35 331 43.9154
no 14.6756563501805 40.6320543240303 486 29 297 6.5151
no 10.6995387970588 44.3908428701895 453 25 267 46.6734
no 12.0698478149468 38.8061778727458 465 17 238 51.4918
no 10.7858206909702 40.0812107546898 455 32 299 31.9114
no 11.7400698358976 41.6730027223191 503 32 313 8.036
no 10.363754454124 41.2227713470454 438 33 300 43.7612
no 11.8097627247917 49.219135762009 443 29 284 15.0004
yes 12.4431957669435 41.4572709515882 904 44 700 94.6794
no 13.4859196052961 46.2368417602873 497 32 311 22.8731
no 12.7124334115909 40.4354399625954 339 25 236 36.2702
no 13.1402199949947 38.5635069412582 513 35 327 46.5041
yes 11.4959063769947 43.6919322347924 683 30 521 58.237
yes 10.2432458199759 41.6840361985414 755 34 577 73.4676
no 10.3628964021404 38.7518625818771 476 32 306 38.732
no 11.3518489828509 40.9668383956233 393 25 251 26.7588
no 13.0099867716986 39.2412682598569 507 27 293 -4.6126
no 11.1617427989179 38.8230885867974 590 38 361 54.1205
no 11.0481939197483 42.9560758404013 448 20 246 44.6065
no 10.0118578017185 42.8069818963596 411 31 284 44.441
no 9.98220733872794 39.6571975407365 456 28 284 25.119
no 7.67671699777145 43.6466403611115 447 26 269 26.9411
no 13.1438428811479 41.5009460386543 406 33 291 34.0483
no 12.1518394489399 40.8432416134657 460 29 286 35.4801
no 9.73089344662797 41.2256116478551 551 32 326 50.8108
yes 9.09345616188581 40.9914179218611 756 37 592 52.1903
no 12.586490448213 39.8861694829342 535 38 346 37.6834
no 12.7596262706916 42.1588907969884 476 23 268 5.2091
yes 9.39939936361145 41.0856722118078 774 39 607 51.7475
no 10.6238395442791 40.5672299201657 536 32 322 32.5605
no 12.1122737185828 44.3777774864649 582 28 316 27.7058
no 10.5828437272825 37.2127035730984 488 29 295 31.1677
yes 8.42484298840438 39.4174324554619 728 37 574 69.3061
yes 10.1314130447736 43.991693212555 701 38 567 69.1462
yes 12.251278139934 41.6216151261312 795 36 608 83.6589
yes 13.3263219363373 37.546875887594 750 46 627 65.0556
no 12.0887249585871 44.9386713509782 429 25 264 13.3823
no 10.9988082611338 39.9150750057898 545 30 314 28.7407
no 13.0322961232735 38.4686408942141 507 33 319 35.4633
yes 9.91699538797059 40.6927493674869 758 36 587 58.8468
no 12.2038946026147 41.560417567916 361 15 200 25.2479
no 11.7369236452908 43.5587002783495 523 34 326 44.4656
no 12.956024835838 38.0312782664552 586 28 319 62.3126
no 12.422602519336 42.5381801974228 517 38 342 -4.0534
no 10.2506822705009 41.1460613767157 459 26 274 25.7825
no 11.9212141435569 41.8659902381046 471 33 308 61.4595
no 13.2014277031617 42.7784914943915 409 28 269 45.9103
yes 7 41.8234075744268 714 37 567 48.4533
yes 11.1453444721193 41.597822144733 731 32 558 60.4793
no 11.8417013264054 35.3851447897959 343 33 271 6.6415
no 9.25496061303047 42.0939134538495 421 32 290 19.3435
