Industry experience age publications phds masters ranking
no 12.586490448213 39.8861694829342 535 38 346 37.6834
no 13.2014277031617 42.7784914943915 409 28 269 45.9103
no 13.0099867716986 39.2412682598569 507 27 293 -4.6126
yes 9.09345616188581 40.9914179218611 756 37 592 52.1903
no 11.1531622790814 40.342474732247 530 27 298 47.9676
no 10.4449833752428 42.5981323929753 390 36 299 39.1483
no 13.4859196052961 46.2368417602873 497 32 311 22.8731
yes 12.1932166223737 38.6831491507501 593 32 484 64.2436
no 13.8554539929211 43.4538057846003 622 37 366 62.3463
yes 10.2432458199759 41.6840361985414 755 34 577 73.4676
no 11.8417013264054 35.3851447897959 343 33 271 6.6415
no 14.2895329575383 43.4628947471914 453 32 300 29.094
no 10.363754454124 41.2227713470454 438 33 300 43.7612
no 12.5484501436045 37.5622135119664 461 26 276 29.9179
no 12.1750068524985 46.6653994555362 524 29 305 39.2957
no 10.3628964021404 38.7518625818771 476 32 306 38.732
no 9.70152900096531 35.598604319879 421 36 305 29.6988
no 9.36545864070265 42.392931583708 568 30 323 59.3887
yes 11.4959063769947 43.6919322347924 683 30 521 58.237
yes 9.86484489518657 37.6295723380919 787 39 616 76.2823
yes 12.4431957669435 41.4572709515882 904 44 700 94.6794
no 10.6995387970588 44.3908428701895 453 25 267 46.6734
no 11.941998069383 47.229242863198 456 32 301 28.7152
no 13.7542038588504 40.3279673496498 455 30 290 59.2694
yes 9.78542741714435 38.8961935599456 748 39 595 33.4366
no 8.80925027707929 43.8956691967192 331 23 228 36.8731
no 10.2506822705009 41.1460613767157 459 26 274 25.7825
no 13.1438428811479 41.5009460386543 406 33 291 34.0483
no 12.2581425558032 43.7862083732068 573 29 321 9.2209
